term_str|n|p|i|dfidf|porter_stem|max_pos|max_pos_group|stop|ngram_length
|1|0.0003291639236339697|11.568906154502084|11.568906154502084||''|OTHER|0|0
0|231|0.03818301514154049|4.710925159374511|546.4673184874433|0|CD|OTHER|0|1
00|61|0.014154048716260697|6.142641399799985|264.13358019139935|00|CD|OTHER|0|1
000|9|0.0016458196181698486|9.24697805961472|46.2348902980736|000|CD|OTHER|0|1
0000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|0000|CD|OTHER|0|1
00000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|00000|CD|OTHER|0|1
000s|1|0.0003291639236339697|11.568906154502084|11.568906154502084|000|CD|OTHER|0|1
004|3|0.0006583278472679394|10.568906154502084|21.13781230900417|004|CD|OTHER|0|1
005|4|0.0013166556945358788|9.568906154502084|38.27562461800834|005|CD|OTHER|0|1
006|2|0.0003291639236339697|11.568906154502084|11.568906154502084|006|CD|OTHER|0|1
007|10|0.0019749835418038184|8.983943653780928|53.90366192268557|007|CD|OTHER|0|1
0070|1|0.0003291639236339697|11.568906154502084|11.568906154502084|0070|CD|OTHER|0|1
007present|1|0.0003291639236339697|11.568906154502084|11.568906154502084|007present|CD|OTHER|0|1
008|12|0.0019749835418038184|8.983943653780928|53.90366192268557|008|CD|OTHER|0|1
00800|2|0.0003291639236339697|11.568906154502084|11.568906154502084|00800|CD|OTHER|0|1
009|10|0.0019749835418038184|8.983943653780928|53.90366192268557|009|CD|OTHER|0|1
009present|1|0.0003291639236339697|11.568906154502084|11.568906154502084|009present|CD|OTHER|0|1
00present|1|0.0003291639236339697|11.568906154502084|11.568906154502084|00present|CD|OTHER|0|1
04|10|0.0013166556945358788|9.568906154502084|38.27562461800834|04|CD|OTHER|0|1
05|312|0.004279131007241606|7.8684664363609915|102.2900636726929|05|CD|OTHER|0|1
050|1|0.0003291639236339697|11.568906154502084|11.568906154502084|050|CD|OTHER|0|1
0506|1|0.0003291639236339697|11.568906154502084|11.568906154502084|0506|CD|OTHER|0|1
0508|2|0.0006583278472679394|10.568906154502084|21.13781230900417|0508|CD|OTHER|0|1
06|9|0.0026333113890717576|8.568906154502084|68.55124923601667|06|CD|OTHER|0|1
0608|4|0.0006583278472679394|10.568906154502084|21.13781230900417|0608|CD|OTHER|0|1
06er|1|0.0003291639236339697|11.568906154502084|11.568906154502084|06er|CD|OTHER|0|1
07|24|0.006254114549045424|7.320978641058498|139.09859418011146|07|CD|OTHER|0|1
08|31|0.003949967083607637|7.983943653780927|95.80732384537113|08|CD|OTHER|0|1
09|111|0.005924950625411455|7.398981153059771|133.18166075507588|09|CD|OTHER|0|1
098|1|0.0003291639236339697|11.568906154502084|11.568906154502084|098|CD|OTHER|0|1
0inch|1|0.0003291639236339697|11.568906154502084|11.568906154502084|0inch|CD|OTHER|0|1
0k|1|0.0003291639236339697|11.568906154502084|11.568906154502084|0k|CD|OTHER|0|1
0s|9|0.002304147465437788|8.761551232444479|61.330858627111354|0s|CD|OTHER|0|1
0somethings|2|0.0003291639236339697|11.568906154502084|11.568906154502084|0someth|CD|OTHER|0|1
0th|27|0.0009874917709019092|9.983943653780928|29.951830961342786|0th|CD|OTHER|0|1
0x|1|0.0003291639236339697|11.568906154502084|11.568906154502084|0x|CD|OTHER|0|1
0year|3|0.0003291639236339697|11.568906154502084|11.568906154502084|0year|CD|OTHER|0|1
4|249|0.05957867017774852|4.0690602674188785|736.499908402817|4|CD|OTHER|0|1
40|106|0.022053982883475973|5.502816964044311|368.68873659096886|40|CD|OTHER|0|1
4000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|4000|CD|OTHER|0|1
40000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|40000|CD|OTHER|0|1
4040|3|0.0009874917709019092|9.983943653780928|29.951830961342786|4040|CD|OTHER|0|1
405|1|0.0003291639236339697|11.568906154502084|11.568906154502084|405|CD|OTHER|0|1
40automatic|1|0.0003291639236339697|11.568906154502084|11.568906154502084|40automat|JJ|ADJ|0|1
40s|9|0.0009874917709019092|9.983943653780928|29.951830961342786|40|CD|OTHER|0|1
40somethings|1|0.0003291639236339697|11.568906154502084|11.568906154502084|40someth|CD|OTHER|0|1
44|10|0.0016458196181698486|9.24697805961472|46.2348902980736|44|CD|OTHER|0|1
44s|4|0.0013166556945358788|9.568906154502084|38.27562461800834|44|CD|OTHER|0|1
45|24|0.005924950625411455|7.398981153059771|133.18166075507588|45|CD|OTHER|0|1
450|1|0.0003291639236339697|11.568906154502084|11.568906154502084|450|CD|OTHER|0|1
458|2|0.0006583278472679394|10.568906154502084|21.13781230900417|458|CD|OTHER|0|1
46|4|0.0013166556945358788|9.568906154502084|38.27562461800834|46|CD|OTHER|0|1
47|6|0.0016458196181698486|9.24697805961472|46.2348902980736|47|CD|OTHER|0|1
48|1|0.0003291639236339697|11.568906154502084|11.568906154502084|48|CD|OTHER|0|1
4am|2|0.0006583278472679394|10.568906154502084|21.13781230900417|4am|CD|OTHER|0|1
4carat|2|0.0006583278472679394|10.568906154502084|21.13781230900417|4carat|CD|OTHER|0|1
4chick|1|0.0003291639236339697|11.568906154502084|11.568906154502084|4chick|CD|OTHER|0|1
4s|1|0.0003291639236339697|11.568906154502084|11.568906154502084|4s|CD|OTHER|0|1
4th|34|0.004279131007241606|7.8684664363609915|102.2900636726929|4th|CD|OTHER|0|1
4x|5|0.0009874917709019092|9.983943653780928|29.951830961342786|4x|CD|OTHER|0|1
